SampleID	X	Y	Size	Estimation.Type	fore_Green	back_Green	fore_Red	back_Red	Signal.to.Noise	Pvalue	FDR	Out.Index	Other.Spots	Cells
1772-067-038_G09	172	191	12	Fluorescence-based	223.1217206	22.40942541	242.1785411	13.09172909	4.109095376	0.001258248	0.002089591	confidence	0	0
1772-067-038_G10	165	188	49	Chip.Pattern-based	23.94494204	22.42228113	13.76768672	12.91595885	0.090865728	0.999999999	1	confidence	0	0
1772-067-038_G11	164	222	25	Fluorescence-based	37.6365799	22.53633947	50.04291318	12.90877121	1.875715702	6.51765E-06	2.6354E-05	confidence	0	0
1772-067-038_G12	164	192	49	Chip.Pattern-based	23.46445382	22.61229962	14.08274825	13.12066128	0.095091675	0.999999918	1	confidence	0	0
1772-067-038_H01	168	218	10	Fluorescence-based	131.0843592	22.53232372	201.4523517	12.97395627	3.856769966	0.002944635	0.004673551	confidence	0	0
1772-067-038_H02	170	187	10	Fluorescence-based	102.70238	22.64428	174.92104	13.1964	3.63133111	2.94E-03	4.67E-03	confidence	0	1
1772-067-038_H03	168	215	16	Fluorescence-based	32.50004	22.43141	79.09885	13.3471	2.4810219	2.41E-04	4.72E-04	confidence	0	1
1772-067-038_H04	160	214	30	Fluorescence-based	205.371	22.51949	196.42558	13.01504	3.81626125	9.08E-07	5.64E-06	confidence	0	1
1772-067-038_H05	161	184	26	Fluorescence-based	198.16419	22.53638	110.65286	13.1686	3.08099366	4.38E-06	1.91E-05	confidence	0	1
1772-067-038_H06	162	217	29	Fluorescence-based	74.34154	22.56782	109.68852	12.94464	2.98872323	1.34E-06	7.82E-06	confidence	0	1
1772-067-038_H07	169	183	49	Fluorescence-based	30.60924	22.75338	19.93775	13.10309	0.57009541	3.94E-01	5.67E-01	confidence	0	1
1772-067-038_H08	171	213	49	Chip.Pattern-based	24.83038495	22.44418295	14.04533375	13.12574333	0.139839143	0.999999999	1	confidence	0	0
1772-067-038_H09	170	179	49	Chip.Pattern-based	25.68630635	22.77381756	14.44066799	13.24554989	0.166726049	0.999999999	1	confidence	0	0
1772-067-038_H10	162	178	49	Chip.Pattern-based	23.5886102	22.52936651	14.99839592	13.22160279	0.169843193	0.999999982	1	confidence	X = 418, Y = 287 (Green) | X = 503, Y = 102 (Red)	0
1772-067-038_H11	160	211	21	Fluorescence-based	121.9358556	22.37456324	184.108488	12.75498113	3.750344985	3.19759E-05	8.72544E-05	confidence	0	0
1772-067-038_H12	161	179	14	Fluorescence-based	324.2749	22.41665	267.15492	13.1375	4.24546786	5.45E-04	9.81E-04	confidence	0	1
1772-067-039_A01	184	237	49	Chip.Pattern-based	27.43321	22.78694	16.47113	13.21692	0.29736373	1.00E+00	1.00E+00	confidence	0	1
1772-067-039_A02	195	250	49	Chip.Pattern-based	27.92006	22.47199976	16.83399972	13.1509469	0.333731707	0.99972442	1	confidence	0	0
1772-067-039_A03	184	237	49	Chip.Pattern-based	25.16966419	22.5906492	14.94607408	13.01076832	0.186665204	0.999999987	1	confidence	0	0
1772-067-039_A04	191	277	12	Fluorescence-based	62.90528	25.21077	232.92213	13.8118	3.98120954	1.25E-03	2.09E-03	confidence	X = 128, Y = 358 (Green) | X = 191, Y = 277 (Red)	1
1772-067-039_A05	183	206	49	Chip.Pattern-based	26.29091	22.75685	14.15733	12.88164	0.20007669	1.00E+00	1.00E+00	confidence	0	1
1772-067-039_A06	187	274	49	Chip.Pattern-based	22.52412216	22.61580852	14.44325967	12.83520681	0.15863309	0.999999976	1	confidence	0	0
1772-067-039_A07	188	240	14	Fluorescence-based	43.92477	22.51193	203.43355	13.02493	3.86556649	5.41E-04	9.81E-04	confidence	0	1
1772-067-039_A08	188	275	49	Chip.Pattern-based	22.31210125	22.60992801	14.13464296	12.90510168	0.122240346	0.999999919	1	confidence	0	0
1772-067-039_A09	189	242	20	Fluorescence-based	58.43217	22.46639	126.34945	12.99185	3.18613461	4.74E-05	1.19E-04	confidence	0	1
1772-067-039_A10	186	241	17	Fluorescence-based	150.29806	22.91325	218.67237	12.93295	3.97878034	1.60E-04	3.29E-04	confidence	0	1
